Name,Specialty,Location,Education,Residency,Board Certification
Nathaniel C. Koo,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Luke Kopulos,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Jacqueline Korpics,"Pediatrics, Public Health","John H. Stroger, Jr. Hospital",Loyola University Stritch School of Medicine,Rush University Medical Center,"Pediatrics, and Preventive Medicine and Public Health"
Rajeev Kumar,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital","MBBS, Government Medical College of Patiala","Pediatrics, John H. Stroger Hospital of Cook County","American Board of Pediatrics, American Board of Neonatology"
Sonali Kumari,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jolly Kuncheria,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Joanna Kuppy,Pediatric Critical Care,"John H. Stroger, Jr. Hospital",nil,nil,nil
Maria Del Carmen P. Kurn,Adult Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Paul M. Lamberti,Hand Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
James Phillip Lash,Nephrology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rohiya H. Latif,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sorin Lazar,Cardiovascular Disease,"John H. Stroger, Jr. Hospital","Universitatea de Medicina si Farmacie ""Carol Davila"", Bucharest, Romania","Lahey Clinic, Thomas Jefferson","Cardiology, Cardiac Electrophysiology"
"Gianluca Lazzaro, MD",Surgery,"John H. Stroger, Jr. Hospital",University of Rome,University of Illinois General Surgery Residency,General Surgery
Jerrold B. Leikin,Toxicology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Erik J. Ligas,Dentistry,"John H. Stroger, Jr. Hospital",New York University College of Dentistry,Credentialing Tour at Great Lake Naval Training Center,nil
Lori Ramine Lightfoot,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Michael Y. Lin,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Maria Linden,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mark T. Loafman,Family Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Rush Medical College,Brown University,Family Medicine
Thom E. Lobe,Pediatric Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Latania K. Logan,Pediatric Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Lance J. Luka,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Meriam Lukose,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jamie S. Luria,Oral and Maxillofacial,"John H. Stroger, Jr. Hospital",nil,nil,nil
Linda C. Lynch,Emergency Medicine,Provident Hospital,nil,nil,nil
Mariam Mafee,Dermatology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jason J. Magnani,Orthopaedic Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kristine U. Makiewicz,General Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
"Saurabh Malhotra, MD, MPH, FACC",Cardiovascular Disease,"John H. Stroger, Jr. Hospital, Provident Hospital","University College of Medical Sciences, Delhi University","Internal Medicine, University of Pittsburgh Medical Center","Cardiovascular Disease, Nuclear Cardiology, Echocardiography and Cardiac Computed Tomography"
Nathalie Mantilla,Colon and Rectal Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital","Universidad de los Andes, Merida-Venezuela",Hospital Dr. Domingo Luciani Caracas - Venezuela; University of Illinois at Chicago,"American Board of Surgery, American Board of Colon & Rectal Surgery"
Karolina K Marinescu,Cardiovascular Disease,"John H. Stroger, Jr. Hospital",Rosalind Franklin University of Medicine and Science,Detroit Medical Center,"Cardiovascular Disease, Internal Medicine"
Keith A. Marino,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jonathan Martin,"HIV/AIDS, Infectious Diseases, Internal Medicine","John H. Stroger, Jr. Hospital, Provident Hospital, Ruth M. Rothstein CORE Center",Kansas City University of Medicine and Biosciences,Mount Sinai Beth Israel Medical Center,Internal Medicine and Infectious Disease
Joseph T. Mason,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,American Board of Psychiatry and Neurology
Allison L. Mason,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Malek G. Massad,Thoracic and Cardiac Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Lizamma Mathew,Adult Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Chary Mathew,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Elza G. Matrova,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",nil,nil,American Board of Pathology
Nathalie D. McCammon-Chase,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sean D. McCann,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Randolph McConnie,Pediatric Gastroenterology,"John H. Stroger, Jr. Hospital","Albany College, Albany NY","Baylor College of Medicine Affiliated Hopsitals, Houston, TX; Pediatrics: Yale-New Haven Medical Center, New Haven, CT",Pediatric Gastroenterology
Natalia McGee,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Yvonne Renee McLeod,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jenea Nicole McNeal,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Timothy J. Meehan,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Shilpa Mehta,Dermatology,"John H. Stroger, Jr. Hospital","Lady Hardinge Medical College, New Delhi, India","John H. Stroger, Jr. Hospital of Cook County",Dermatology and Internal Medicine
Garnet Meier,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Fayez M. Mekhael,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Concetta C. Mennella,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Shreevidya Menon,Pediatrics,"John H. Stroger, Jr. Hospital",nil,nil,nil
Monica Mercon,"HIV/AIDS, Infectious Diseases, Internal Medicine",nil,"Federal University of Rio de Janeiro Medical School, Master in Public Health at Yale School of Public Health","Internal Medicine, Primary Care / Social Medicine at Montefiore University Hospital for Albert Einstein College of Medicine and Infectious Disease Residency at Clementino Fraga Filho University Hospital for Federal University of Rio de Janeiro",Internal Medicine / HIV Medicine
Bradley R. Merk,Orthopaedic Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sandra J. Micci,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mason W. Milburn,Orthopaedic Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Barbara J. Miller,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Joyce Miller,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Karina Miranda,Physician Assistant,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Harry Miranda-Ocasio,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Satya M. Mishra,Gastroenterology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Ruth E Moncayo,Anesthesiology,"John H. Stroger, Jr. Hospital","Universidad Central Del Ecuador, Quito, Ecuador","John H. Stroger, Jr. Hospital, Anesthesiology",American Board of Anesthesiology
Paul J. Mullarkey,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Lucy Munoz-Medina,Family Medicine,"John H. Stroger, Jr. Hospital","Universidad Nacional Mayor de San Marcos/San Fernando Facultad de Medicina, Lima, Per√∫",Cook County-Loyola-Provident Hospital Family Medicine Residency,Family Medicine & Geriatrics
Adam B. Murphy,Urology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Daniel Patrick Murphy,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
"James A. Murphy, DDS",Oral & Maxillofacial,"John H. Stroger, Jr. Hospital, Provident Hospital","University College Cork, Ireland",University of Maryland Medical Center,American Board of Oral & Maxillofacial Surgery
Michael T Murphy,Emergency Medicine,Provident Hospital,nil,nil,nil
Janardhan Mydam,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital","Gandhi Medical College, Hyderabad, Telangana. India","Children‚Äôs Hospital of Michigan, Detroit Medical Center, Wayne State University",American Academy of Pediatrics
Hari N. Mylvaganam,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Lisa A. Naftzger-Kang,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Vishakha Nanda,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",Maulana Azad Medical School,Stroger Hospital of Cook County,Pediatrics and Neonatology
Raymond T. Narh,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Colleen Nash,Infectious Diseases,nil,University of Illinois at Chicago,University of Chicago Comer Children's Hospital,Pediatrics and Pediatric Infectious Diseases
Ahmad Nauman,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Robert K. Needleman,Emergency Medicine,"John H. Stroger, Jr. Hospital",Boston University School of Medicine,"John H. Stroger, Jr. Hospital of Cook County",Emergency Medicine
Ailda Nika,Rheumatology,"John H. Stroger, Jr. Hospital","University of Tirana Medical School, Albania","Internal Medicine West Suburban Hospital, Oak Park, Illinois",Rheumatology
Jenna K. Nikolaides,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mary Frances Novak,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Juleigh M. Nowinski Konchak,Preventive Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Pierre R. Nunez,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Josephine A. Nwawueze,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Augustine Nwoko,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Betsy O’Brien,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
John M. O’Brien,Internal Medicine,"John H. Stroger, Jr. Hospital",University of Illinois College of Medicine - Chicago,Lutheran General Hospital,Internal Medicine
Erica L. O’Neill,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ray Obaseki,Pediatric Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Joy Mylene D. Ochon,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Segun B. Oguntoba,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Olatokunbo Olorunfemi,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Peter Orris,Occupational Medicine,"John H. Stroger, Jr. Hospital","Rosalind Franklin University Chicago Medical School, MD , Yale University School of Public Health, MPH","Internal Medicine at Cook County Hospital, Occupational/Environmental Medicine at Cook County Hospital",Preventive Medicine in Occupational/Environmental Medicine
Ixchell Y Ortiz Estes,Pediatric Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Yana Oskin,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Camille V. Palma,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",Baylor College of Medicine, Case Western Reserve University and University Hospitals,Ophthalmology
Joseph S. Palter,Emergency Medicine,"John H. Stroger, Jr. Hospital",University of Connecticut School of Medicine,Cook County Emergency Medicine Residency,Emergency Medicine
Mark J. Panarese,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Greg R Papiez,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Steve Paschos,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Dipika Patel,Allergy/Immunology,"John H. Stroger, Jr. Hospital",University of Illinois at Chicago College of Medicine,Texas Children's Hospital - Baylor College of Medicine,Pediatrics and Allergy Immunology
Shilpa M Patel,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jalpabahen A. Patel,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Manisha Patel,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Pratik N Patel,Cardiovascular Disease,"John H. Stroger, Jr. Hospital",Medical College of Georgia School of Medicine,Rush University Medical Center,"Cardiovascular Disease, Clinical Cardiac Electrophysiology, Internal Medicine"
Kevin Patel,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Vandana B. Patel,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,AANP
Amit I Patel,Gastroenterology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Himadri Patel,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
George W. Paul,Pediatric Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
James F. Peculis,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Murray Pelta,Obstetrics & Gynecology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Marilou L. Pena,Adult Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
"Paul Phelps, MD",Ophthalmology,"John H. Stroger, Jr. Hospital",Drexel University College of Medicine,John H. Stroger Jr. Hospital,Ophthalmology
Anitha Philip,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Simon J. Piller,Internal Medicine,"John H. Stroger, Jr. Hospital",Mount Sinai School of Medicine,Cook County Combined Internal Medicine and Pediatrics Residency Program,Internal Medicine and Pediatrics
Marek Piszczatowski,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Elina S Polyakova,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kyle J Popovich,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Stephanie P. Powell,Physician Assistant,Provident Hospital,nil,nil,nil
Kathleen E. Powers,Physician Assistant,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Jorge J. Prieto,Orthopaedic Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rachel Neems Pritzker,Dermatology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nataliya Pyslar,Cardiovascular Disease,"John H. Stroger, Jr. Hospital, Provident Hospital",Bukovinian State Medical Academy,Cleveland Clinic Foundation,"Cardiovascular Medicine, Internal Medicine, Echocardiography, Nuclear Cardiology, American Board of Clinical Lipidology"
"Mohammed K. Qaisi, DMD",Oral & Maxillofacial,"John H. Stroger, Jr. Hospital, Provident Hospital",Louisiana State University - Shreveport,Louisiana State University Health Sciences Center - Shreveport,American Board of Oral & Maxillofacial Surgery
Nancy M. Quesada,Pulmonary and Critical Care Medicin,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Carlos Quezada-Gomez,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
John M. Raba,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Randy Charles Rabin,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kathryn Radigan,Pulmonary Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Wisconsin Madison,Northwestern University Feinberg School of Medicine,"Internal Medicine, Pulmonary, Critical Care"
Nawal E. Ragheb-Mueller,Anesthesiology,"John H. Stroger, Jr. Hospital, Provident Hospital",Michigan State University College of Osteopathic Medicine,Anesthesiology - Vanderbilt University Medical Center,American Board of Anesthesiology
Padmanabhan Raghu,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Veena R. Raiji,Ophthalmology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nimmi Rajagopal MD,Family Medicine,"John H. Stroger, Jr. Hospital",Ross University School of Medicine,University of Illinois at Chicago,nil
Alma Ramic,Psychiatry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Phornphat Rasamimari,Neonatal Perinatal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Arkady Rasin,Emergency Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Vera H. Ray,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Shalini T. Reddy,Hospitalist,"John H. Stroger, Jr. Hospital",University of Texas Southwestern Medical School,Parkland Hospital and Dallas VA Medical Center,Internal Medicine
Alexander A. Ree,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,Henry Ford Hospital,nil
Nicholas Ree,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Teresita M. Rescober,High Risk Perinatal Nurse,"John H. Stroger, Jr. Hospital",nil,nil,nil
Pedram Rezai,Diagnostic Radiology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Yoona Rhee,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Danielle Rice,Neurology,"John H. Stroger, Jr. Hospital, Provident Hospital",Northeastern Ohio Medical University,Rush University Medical Center,Adult Neurology
Stamatia Z. Richardson,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Margaret C. Rigamer,Vascular Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
William L. Riles,Gastroenterology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Paul B Roach,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kathy L. Roberts,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Ollie M. Rogers,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Wendy A. Rogowski,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jeffrey S Rosenblatt,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
John M. Ruggero,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Juan Pablo Ruiz,Nephrology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Natalia N. Ruiz,Psychology,"John H. Stroger, Jr. Hospital, Provident Hospital",Adler School of Professional Psychology,"Gouverneur Health Care Services, NYC Health +Hospitals (Behavioral Health Department)",Illinois Department of Financial and Professional Regulation (IDFPR)
Abhimanyu Saini,Cardiovascular Disease,"John H. Stroger, Jr. Hospital",nil,nil,nil
Mohammed A. Saleem,Occupational Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Maryam Sanati,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Luis M. Sanchez,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Sepehr Sani,Neurosurgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Yaveen K. Santhiraj,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Vanessa Sarda,Infectious Diseases,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Ray S. Sawaqed,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Victoria Lyn Schlanser,Surgery,"John H. Stroger, Jr. Hospital",A.T. Still University–Kirksville College of Osteopathic Medicine,Midwestern University at Franciscan St. James Hospital,General Surgery and Surgical Critical Care
Alison M. Schoen,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Lisa Seaman,Acupuncture,"John H. Stroger, Jr. Hospital",National Certification Commission for Acupuncture and Oriental Medicine,Midwest College of Oriental Medicine/Guang Zhou University of Traditional Chinese Medicine,nil
Christopher W. Seder,Thoracic and Cardiac Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Vesna Sefer,Internal Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
John Segreti,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Carmencita G. Senseng,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital","University of Santo Tomas at Manila, Philippines",University of Illinois at Chicago,Anatomic and Clinical Pathology by College of American Pathologists
Donthamsetti Seshagirirao,Radiation Oncology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Beverly E Sha,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Binita P. Shah,Physician Assistant,Provident Hospital,"Masters of Science in Physician Assistant at Butler University in Indianapolis, IN",nil,NCCPA
"Biraj M. Shah, DDS",Oral & Maxillofacial,"John H. Stroger, Jr. Hospital, Provident Hospital",University of Maryland School of Medicine,University of Maryland Medical Center,American Board of Oral & Maxillofacial Surgery
Chiragi Shah,Family Medicine,"John H. Stroger, Jr. Hospital","B.J. Medical College, Ahmedabad, India",nil,nil
Shivanjali Shankaran,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Shipra K Sharma,Pediatrics,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Megan F. Sheehan,Nurse Anesthetists,"John H. Stroger, Jr. Hospital",nil,nil,nil
Neha Sheng,Vascular Surgery,"John H. Stroger, Jr. Hospital",Rush Medical College,Rush University Medical Center,General and Vascular Surgery
Rebekah S. Shephard,Adult Psychiatric&Mental Health NP,"John H. Stroger, Jr. Hospital",nil,nil,nil
Feinan Shi,Anatomic and Clinical Pathology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Fabian Sierra-Morales,Neurophysiology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Zina M. Simmons,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Andrew Simms,Infectious Diseases,"John H. Stroger, Jr. Hospital",nil,nil,nil
Karen Simpson,Adolescent Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kevin E. Sims,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Thomas Leslie Sims,Pediatric Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Paul A. Skrivan,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Megan K. Smith,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Hugo Solari,Psychiatry,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kathy R. Sonenthal,Allergy and Immunology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jantanee Songkum,Neonatal Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Alexandra Soriano,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Kenneth L. Soyemi,Preventive Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Christopher R. Stadnicki,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Heather Stanley-Christian,"Addiction Medicine, Clinical Genetics, Maternal-Fetal Medicine, Obstetrics","John H. Stroger, Jr. Hospital",Yale University School of Medicine,Georgetown University Hospital,nil
John H. Stewart,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Rhay Street,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Maureen Stress,Psychology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Shelby D. Strong,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Debra B. Stulberg,Family Medicine,"John H. Stroger, Jr. Hospital",nil,nil,nil
Gunar Subieta-Benito,"Anesthesiology, Geriatric Medicine, Internal Medicine, Pain Management","John H. Stroger, Jr. Hospital","Universidad del Valle, La Paz Bolivia","John H. Stroger, Jr. Hospital - Anesthesiology; University of Illinois - Internal Medicine","American Board of Anesthesiology, American Board of Internal Medicine"
Tisha B Suboc,Cardiovascular Disease,"John H. Stroger, Jr. Hospital",nil,nil,nil
Giries Sweis,Psychology,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kimberly Syres,Surgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nigist A Taddese,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Jahangir Tai,Emergency Medicine,Provident Hospital,nil,nil,nil
Olamide P. Taiwo,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Deimante Tamkus,"Hematology, Oncology","John H. Stroger, Jr. Hospital","Kaunas University of Medicine, Lithuania","John H. Stroger, Jr. Hospital of Cook County",Hematology and Medical Oncology
Karla G. Tapia,Physician Assistant,"John H. Stroger, Jr. Hospital",Master of Physician Assistant Studies at Kettering College,nil,nil
"Leah C. Tatebe, MD","Surgical Critical Care, Trauma & Burns","John H. Stroger, Jr. Hospital",University of Texas Southwestern Medical School,Baylor University Medical Center,General Surgery; Surgical Critical Care
Brenda Jean Taylor,Dentistry,"John H. Stroger, Jr. Hospital",nil,nil,nil
Anupama W. Thakrar,Radiation Oncology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Harishchandra V Thakrar,Radiation Oncology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Michael F. Thomas,Hospice & Palliative Medicine,"John H. Stroger, Jr. Hospital",Kansas City College of Osteopathic Medicine,Chicago College of Osteopathic Medicine,"Internal Medicine, Geriatrics, Palliative Care"
Manju J. Thomas,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Catherine J. Thomas,Ophthalmology,"John H. Stroger, Jr. Hospital, Provident Hospital",Chicago Medical School,John H. Stroger Jr. Hospital of Cook County,Board Eligible
Trevonne M. Thompson,Medical Toxicology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Annie K. Torres,Pediatrics,"John H. Stroger, Jr. Hospital",University of Illinois at Chicago of Medicine,Advocate Children's Hospital Park Ridge,nil
Jaime Torres,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kenneth S. Toth,Anesthesiology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Jonathan Maxwell Tottleben,Cardiovascular Disease,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Glen D. Trammell,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Vincent C. Traynelis,Neurosurgery,"John H. Stroger, Jr. Hospital",nil,nil,nil
Arnold F Turner,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",Harvard Medical School,Michael Reese Hospital and Medical Center,American Board of Internal Medicine
Lisa A. Tutaj,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Joanna Tylka,Pediatric Critical Care,"John H. Stroger, Jr. Hospital",nil,nil,nil
Anna M. Tzonkov,Anesthesiology,"John H. Stroger, Jr. Hospital",St. Matthews University,Anesthesiology - John H. Stroger Jr. Hospital of Cook County,American Board of Anesthesiology
Jacek Ubaka,Neonatology,"John H. Stroger, Jr. Hospital","Jagiellonian University - Krakow, Poland","John H. Stroger, Jr. Hospital of Cook County",Pediatrics and Neonatology
Farhana F. Uddin,Physician Assistant,"John H. Stroger, Jr. Hospital",nil,nil,nil
Victor Udechukwu,Internal Medicine,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Helen N. Utomi,Acute & Critical Care Nursing Adult,"John H. Stroger, Jr. Hospital",nil,nil,nil
Roji M Valiathara,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Tibor G. Valyi-Nagy,Anatomic and Neuropathology,"John H. Stroger, Jr. Hospital",nil,nil,nil
Benjamin R. Veenstra,Surgery,"John H. Stroger, Jr. Hospital, Provident Hospital",nil,nil,nil
Kunjumol P. Velayudhan,Adult Nurse Practitioner,Provident Hospital,nil,nil,nil
Jasseena B. Veliyathumalil,Family Nurse Practitioner,"John H. Stroger, Jr. Hospital",nil,nil,nil
Nirmla Verma,Pediatrics,"John H. Stroger, Jr. Hospital",nil,nil,nil
