disease,userquery,userquerySyms
Postherpetic neuralgia,"
The symptoms of postherpetic neuralgia may include:

- pain that persists or worsens after the shingles rash goes away
- burning, stabbing, or shooting pain
- hypersensitivity to touch or temperature changes
- numbness or tingling in the affected area","neuralgia,pain,shingles,rash,pain,hypersensitivity to,temperature changes,numbness,tingling,area"
Lip cancer,"
-A lump on the lip that does not go away
-A white or red patch on the lip that does not go away
-A sore on the lip that does not heal
-Bleeding from the lip
-Crusting on the lips
-Changes in the way the lip looks, including changes in the shape or color of the lip","lump,lip,patch,lip,sore,lip,heal,bleeding,lip,crust,lips,lip"
Pericardial effusion,"
-chest pain
-shortness of breath
-heart palpitations
-fatigue
-fluid retention","chest,pain,shortness of breath,heart,palpitations,fatigue,fluid retention"
Hidradenitis suppurativa,"
Symptoms of Hidradenitis suppurativa may include:
* Painful, deep lumps under the skin
* Boils (large, pus-filled lumps) that open and drain
* Scarring
* Fever
* Weight loss","hidradenitis,lumps,under the skin,boils,fever,weight loss"
Broken collarbone,"
The most common symptom of a broken collarbone is sharp pain at the site of the break. You may also have bruising and swelling around the area. It may be difficult to move your arm or raise it above your head. You may hear a crunching sound when the bone breaks. In some cases, the bone may protrude through the skin.","broken,collarbone,pain,br,uising,swelling,crunch"
Impacted wisdom teeth,"
Some symptoms of impacted wisdom teeth are: 
-Mild to severe pain
-Swelling around the gum line
-Red or swollen gums
-Bad breath
-An unpleasant taste in the mouth
-Difficulty opening the mouth","impacted,wisdom teeth,pain,swelling,around,gum line,swollen gums,bad breath,taste,the mouth,difficulty opening the mouth"
Colon polyps,"
The most common symptom of colon polyps is bleeding from the rectum. This bleeding is usually minor and can occur when you have a bowel movement. The blood may be bright red or it may be darker, like the color of coffee grounds.

Other symptoms of colon polyps include:

-Anemia
-Change in bowel habits
-Diarrhea
-Fatigue
-Rectal pain","colon,bleeding,rectum,bleeding,colon,ps,anemia,dia,rrhea,fatigue,rectal,pain"
Peyronie's disease,"
Symptoms of Peyronie's disease may include pain, penile curvature, and erectile dysfunction.","peyronie ' s disease,erect"
Raynaud's disease,"
The symptoms of Raynaud's disease are pain, numbness, and tingling in the fingers and toes in response to cold or stress. The affected areas may also turn white or blue.","raynaud ' s disease,tingling,fingers,toes"
Ruptured eardrum (perforated eardrum),"
-Ear pain
-Tinnitus
-Hearing loss","ear,pain,tinnitus,hearing loss"
Social anxiety disorder (social phobia),"
symptoms of social anxiety disorder (social phobia) include:

•	feeling very anxious in social situations
•	worrying about being judged by others
•	feeling self-conscious in social situations
•	avoiding social situations
•	difficulty talking to people
•	 sweating, trembling or feeling rapid heartbeat in social situations.","social anxiety disorder,feeling,anxious,worrying,self conscious,difficulty,trembling"
Gastroesophageal reflux disease (GERD),"
The main symptom of GERD is frequent and persistent heartburn, which is pain or a burning sensation in the stomach or upper abdomen. Other symptoms may include regurgitation of acid into the throat or mouth, a sour taste in the mouth, chest pain, difficulty swallowing, and cough.","pain,stomach,itation,acid,throat,sour taste,chest"
Hip labral tear,"
The symptoms of a hip labral tear may include:

-Pain in the hip or groin area
-A clicking, catching, or popping sensation in the hip
-limited range of motion in the hip
-Instability in the hip joint
-Swelling or bruising around the hip joint","hip,lab,tear,pain,hip,groin,hip,hip,instability,hip,joint,swelling,br,uising,hip,joint"
Bone spurs,"
Symptoms of bone spurs can include pain, numbness, weakness, and tingling. They can also cause difficulty walking or standing.",difficulty
Broken ankle,"
There are a few symptoms of a broken ankle, the most common being pain and swelling. You may also have bruising, numbness, and difficulty moving your ankle.","pain,difficulty moving"
Peripheral neuropathy,"
The symptoms of peripheral neuropathy vary depending on the type of nerve affected. Common symptoms include pain, numbness, and tingling, which can occur in the feet, legs, hands, and arms. Other symptoms include weakness, loss of balance, and problems with coordination.","peripheral,pathy,weakness,loss of balance"
Legg,"
-pain in the thigh or buttocks
-swelling of the leg
-stiffness in the leg
-weakness in the leg
-cramping in the leg","pain,thigh,buttocks,swelling,leg,stiff,ness,leg,weakness,leg,cr,amp,ing,leg"
Soft tissue sarcoma,"
There are many different types of soft tissue sarcomas, so symptoms can vary depending on the type and location of the tumor. In general, symptoms may include:

-A mass or lump that can be felt under the skin
-Swelling or pain in the affected area
-A change in the size, shape, or color of the affected area
-An increase in temperature in the affected area
-A change in the way the affected area feels to touch","symptoms,mass,lump,under the skin,swelling,pain,the,area,area"
Chronic pelvic pain in women,"
-Pain in the lower abdomen
-Pain in the lower back
-Pain during intercourse
-Painful urination
-Constipation
-Diarrhea","pain,lower abdomen,pain,lower back,pain,urination,consti,pation,diarrhea"
Paraneoplastic syndromes of the nervous system,"
Some common symptoms of paraneoplastic syndromes of the nervous system include:

* Muscle weakness
* Numbness or tingling in the extremities
* Loss of coordination
* Difficulty speaking or swallowing
* Vision problems
* seizures","paraneoplastic syndrome,nervous system,muscle weakness,numbness,tingling,extre,mities,loss of coordination difficulty,speaking,swallowing,vision problems,seizures"
Sleep terrors (night terrors),"
Symptoms of sleep terrors include:

-sudden fear or terror
-a sense of impending doom
-heart palpitations
-rapid breathing
-sweating
-trembling or shaking
-hyperventilation
-flushed skin
-pupils dilated","sleep terror,fear,terror,impending doom,heart palpitations,rapid breathing,sweating,trembling,shaking,hyperventilation,flushed,skin,pupils dilated"
Stevens,"
The symptoms of Stevens vary depending on the person, but some common symptoms include:

-Fever
-Sore throat
-Swollen lymph nodes
-Body aches
-Rash","stevens,fever,sore,throat,swollen,lymph nodes,body,ache,rash"
Bone cancer,"
–Bone pain
–Swelling or a lump in the affected area
–Weight loss
–Fatigue
–Fever
–Anemia","bone,pain,swelling,lump,weight loss,fatigue,fever,an,emia"
Fetal macrosomia,"
Fetal macrosomia is when a baby is born larger than 8 pounds 13 ounces. It can be caused by diabetes in the mother, obesity, or genetic factors. Symptoms include large size, high birth weight, and difficulty delivering the baby.",macrosomia
Aphasia,"
Aphasia is a condition that results in the inability to produce or comprehend language. Symptoms of aphasia may include difficulty understanding spoken or written language, difficulty speaking, and difficulty writing.","aphasia,to,or,ap,hasia"
Chronic kidney disease,"
There are many symptoms of chronic kidney disease. Some common ones are:

-Fatigue
-Weakness
-Loss of appetite
-Nausea and vomiting
-Swelling in the feet and ankles
-Persistent itchiness
-Urinating more often than normal, or blood in the urine","kidney,fatigue,weakness,loss of appetite,nausea,vomiting,swelling,feet,ankles,itchiness,ur,inating,blood,urine"
Bunions,"
•	A bulging bump on the outside of the foot at the base of the big toe 
•	Swelling, redness or soreness around the big toe joint 
•	Corns or calluses — these often occur in between the big toe and second toe 
•	Persistent or intermittent pain in the big toe joint 
•	Restricted movement of the big toe","bump,outside of the foot,base of the big toe,swelling,redness,soreness,big toe joint,corns,calluses,big toe,second toe,pain,big toe joint,restricted movement,big toe"
Periodontitis,"
-Swollen gums
-Tender gums
-Gums that bleed easily
-Receding gums
-Bad breath
-Loose teeth
-Pus between your teeth and gums","swollen gum,tender gums,gum,s,gums,bad breath,loose teeth,pus,between,your,gum,s"
Acoustic neuroma,"
The symptoms of acoustic neuroma can vary depending on the size and location of the tumor. Many people with small acoustic neuromas do not experience any symptoms. However, as the tumor grows, it can begin to press on the cranial nerves near the brainstem, causing a range of problems.

The most common symptom of acoustic neuroma is hearing loss in one ear. Other symptoms may include:

• Tinnitus (ringing in the ears)
• Balance problems
","cranial,brains,hearing loss,tinnitus,ringing,balance problems"
Dysphagia,"
There are many symptoms of dysphagia, and they can vary depending on the underlying cause. Some common symptoms include:

•	Difficulty swallowing (dysphagia)
•	Feeling that food is stuck in your throat or chest (food impaction)
•	Painful swallowing (odynophagia)
•	Bringing food back up (regurgitation)
•	Coughing or gagging when swallowing
•	Weight loss","difficulty,d,stuck,throat,chest,coughing,gagging,weight loss"
Hemolytic uremic syndrome (HUS),"
The most common symptom of HUS is bloody diarrhea. Other symptoms may include fever, abdominal pain, vomiting, and decreased urine output.","hu,bloody,dia,fever,abdominal"
Hiatal hernia,"
A hiatal hernia is when a part of your stomach bulges up through your diaphragm into your chest. This can cause heartburn and other symptoms.","atal,hernia,stomach,bulges,up,through,diaphragm"
Salivary gland tumors,"
The most common symptom of a salivary gland tumor is a lump in the face, neck, or inside the mouth. Other symptoms may include:

-A change in the way the teeth fit together
-Numbness in the face
-Difficulty swallowing
-Pain in the face, neck, or mouth
-Swelling in the face
-weight loss","saliva,tumor,lump,change,numbness,face,pain,mouth,swelling,face,weight loss"
Granuloma annulare,"
The symptoms of granuloma annulare may include:

* Raised, reddish-brown bumps on the skin that are arranged in a ring or line
* Itching or burning sensation on the skin
* Soreness or tenderness on the skin","granuloma,bumps,skin,it,ching,burning sensation,skin,sore,tenderness,skin"
Esophageal spasms,"
Symptoms of esophageal spasms may include: 
-Painful swallowing 
-Chest pain 
-Heartburn 
-Regurgitation 
-Dysphagia","es,ophageal,spasms,chest,pain,heartburn,regurgitation,dysphagia"
Hyperoxaluria and oxalosis,"
The symptoms of hyperoxaluria and oxalosis may include:

-Joint pain
-Muscle weakness
-Swelling of the extremities
-Kidney stones
-Nausea and vomiting
-Diarrhea
-Weight loss
-Fatigue","hyper,ox,aluria,oxalosis,joint,pain,muscle,weakness,swelling,extre,mities,kidney stones,nausea,vomiting,diarrhea,weight loss,fatigue"
Benign peripheral nerve tumor,"
The most common symptom of a benign peripheral nerve tumor is a painless lump or mass. Other symptoms may include tingling, numbness, or weakness in the affected area.","peripheral nerve,lump,numb,weakness"
Sick sinus syndrome,"
The symptoms of Sick sinus syndrome can include fatigue, fainting, shortness of breath, and dizziness.","sick,us,faint,shortness of breath"
Bradycardia,"
-heartbeat that is slower than normal
-lightheadedness
-shortness of breath
-dizziness
-fainting","lightheadedness,shortness of breath,dizziness,fainting"
Bullous pemphigoid,"
The most common symptom of bullous pemphigoid is itching. Other symptoms may include:

* Blisters that appear suddenly and may be very large
* Blisters that are usually located on the trunk and upper thighs, but can occur anywhere on the body, including the mucous membranes and inside the mouth
* Blisters that break open easily, leaving raw, open sores
* Sores that heal without scarring
* Burning or stinging sensation before blisters","go,it,ching,blisters,blisters,mu,cous membranes,inside the mouth,blist,sores,sore,blisters"
Throat cancer,"
The symptoms of Throat cancer can include a persistent sore throat, hoarseness, difficulty swallowing, earache, and weight loss.","throat,sore,throat"
Gallstones,"
Symptoms of gallstones may include:

* Sudden, severe abdominal pain that may last for several hours
* Pain in your right shoulder or back
* Nausea or vomiting
* Fever
* Yellowing of your skin or whites of your eyes (jaundice)
* Clay-colored stools","gallstones,abdominal,pain,pain,right shoulder,back,nausea,vomiting,fever,yellowing,skin,whites of your eyes,ja,und,ice,stool"
Claudication,"
There are many symptoms of claudication, but the most common symptom is pain in the legs and buttocks while walking. Other symptoms can include muscle cramping, weakness, numbness, and coldness in the legs.","pain,legs,butt,ocks,muscle,cold"
Gastrointestinal bleeding,"
-Vomiting or coughing up blood
-Passing black stools
-Rectal bleeding
-Anemia
-Weakness
-Fatigue","vomiting,coughing up blood,stools,rectal,bleeding,an,emia,weakness,fatigue"
Syringomyelia,"
There are many potential symptoms of syringomyelia, as the condition can affect many parts of the body. Common symptoms include pain, numbness, and weakness in the arms and legs; problems with balance and coordination; and difficulties with swallowing, speaking, and breathing. In more severe cases, syringomyelia can lead to paralysis.","numb,weakness,arms,balance,coordination,swallowing,sy"
Ectropion,"
Ectropion is a condition where the eyelid margin turns outwards away from the eye. This can cause the eye to become dry and irritated, as well as making it more susceptible to infection.","eye,eye,dry"
Stomach cancer,"
-abdominal pain
-bloating
-indigestion
-nausea
-vomiting
-weight loss","abdominal,pain,b,loating,ind,ige,stion,nausea,vomiting,weight loss"
Bladder cancer,"
The symptoms of bladder cancer can include:

-Blood in the urine (hematuria)
-Pelvic pain
-Urinary frequency or urgency
-Painful urination
-loss of bladder control","bladder cancer,uria,pe,l,vic,pain,urgency,urination,loss of bladder control"
Dry macular degeneration,"
The symptoms of dry macular degeneration include difficulty reading, trouble recognizing faces, and central vision loss.","mac,recognizing"
Hypoparathyroidism,"
The symptoms of hypoparathyroidism are usually mild, but can become severe if the condition is not treated. The most common symptoms include:

-Fatigue
-Muscle weakness
-Numbness or tingling in the hands and feet
-Abnormal heart rhythms
-Depression
-Anxiety
-Memory problems","h,yp,oparathyroidism,fatigue,muscle,weakness,numbness,tingling,hands,feet,abnormal,rhythms,depression,anxiety memory problems"
Giant cell arteritis,"
headache, fatigue, weight loss, fever, jaw pain, tongue pain, visual problems","weight,jaw,tongue,visual problems"
Constipation in children,"
There are many potential symptoms of constipation in children, including:

-abdominal pain or cramping
-bloating
-passing small, hard stools
-leakage of stool
- rectal bleeding
-decreased appetite
-weight loss
-lethargy","consti,pation,abdominal,pain,cr,amp,ing,leakage,stool,rec,tal,bleeding,weight loss lethargy"
Neuroblastoma,"
The most common symptom of neuroblastoma is a lump that can be felt under the skin on the abdomen, chest, or neck. Other symptoms can include:

-Bone pain
-Belly pain
-Problems urinating
-Constipation
-Trouble breathing
-Weakness in the legs
-Loss of appetite
-Weight loss
-Fever
-Anemia (low number of red blood cells)","ne,uroblastoma,lump,under the,skin,bone,pain,belly,pain,problems,urinating,constipation,trouble breathing,weakness,legs,loss of appetite,weight loss,fever,anemia"
Bruxism (teeth grinding),"
The symptoms of bruxism (teeth grinding) may include:

* A dull, constant headache
* Pain in the temples
* Earache
* Sensitivity to sound
* Pain when chewing
* Jaw pain or stiffness
* Worn teeth
* Broken teeth
* Flat, fractured, or chipped teeth
* Increased tooth sensitivity to hot, cold, or sweet foods and drinks
* Indentations on the tongue from teeth grinding","br,ism,headache,pain,temples,ear,ache,pain,jaw,pain,stiffness,worn teeth,broken teeth,chipped,teeth,tooth,ind,s,tongue,teeth"
Functional dyspepsia,"
The main symptom of functional dyspepsia is pain or burning in the upper abdomen. Other symptoms may include bloating, belching, nausea, and early satiety (feeling full after eating a small amount of food).","d,yspepsia,pain,burning,b,satiety,full"
Soft palate cancer,"
Some symptoms of soft palate cancer include a lump or sore that does not heal, bleeding or discharge from the mouth, a change in voice, difficulty swallowing, and ear pain.","soft palate,lump,sore,bleeding,ear"
Stage 4 prostate cancer,"
Stage 4 prostate cancer is the most advanced stage of prostate cancer. The symptoms of stage 4 prostate cancer can include:

-Weight loss
-Bone pain
-Problems urinating
-Erectile dysfunction
-Fatigue","prostate cancer,prostate,prostate,cancer,weight loss,bone,pain problems,urinating,erect,ile dysfunction,fatigue"
Pediatric obstructive sleep apnea,"
-Loud snoring
-Gasping for air or choking during sleep
-Long pauses in breathing during sleep
-Restless sleep
-Bedwetting
-Attention and behavior problems during the day
-Hyperactivity
-Poor school performance","gasping for air,choking,breathing,attention,behavior,problems,hyperactivity"
Rectal prolapse,"
-Rectal prolapse can cause a mucous discharge.
-The tissue may also bleed.
-If the prolapse is severe, it can block the rectum and cause constipation.
-You may also have fecal incontinence.","rec,mu,rec"
Aortic valve regurgitation,"
-Dyspnea (shortness of breath)
-Orthopnea (shortness of breath when lying down)
-Paroxysmal nocturnal dyspnea (sudden shortness of breath at night)
-Angina (chest pain)
-Fatigue
-Heart palpitations
-Swelling in the ankles, legs, and abdomen","d,yspnea,shortness of breath,or,th,opnea,shortness of breath,d,yspnea,shortness of breath,ang,chest,pain,fatigue,heart,palpitations,swelling,ankles,legs,abdomen"
Dupuytren contracture,"
Dupuytren contracture is a condition in which the tissue beneath the skin of the palm and fingers thickens and becomes hard, eventually causing the fingers to bend inward.","dupu,yt,ren contracture,palm,fingers,thick,fingers"
Rhabdomyosarcoma,"
Rhabdomyosarcoma is a cancer that may occur in any part of the body. It usually develops in children and young adults. Early symptoms may include a lump or mass, pain, and/or swelling.","rhabdomyosarcoma,lump"
Anal fistula,"
There may be a small lump near the anus. The lump may be sore. There may be discharge from the lump. The person may have pain when passing stool.","lump,an,lump,pain"
Pulmonary fibrosis,"
The most common symptom of pulmonary fibrosis is a chronic, dry cough. Other symptoms may include shortness of breath, chest pain, wheezing, loss of appetite, fatigue, and joint pain.","pulmonary,shortness of breath,chest,heezing,loss of appetite,joint"
Sudden cardiac arrest,"
The main symptom of sudden cardiac arrest is loss of consciousness. Other symptoms may include gasping for air, no pulse, and no breathing.","loss of consciousness,gasping for air"
Thoracic aortic aneurysm,"
Symptoms of a thoracic aortic aneurysm may include:

-Chest or back pain
-Hoarseness
-Difficulty swallowing
-Difficulty breathing","thorac,aortic,an,eurysm,chest,back,pain,hoarseness,difficulty swallowing difficulty breathing"
Golfer's elbow,"
There are several symptoms that are associated with golfer’s elbow, and they include:

– Pain on the inside of the elbow

– Tenderness to touch on the inside of the elbow

– Weakness in the forearm muscles

– Difficulty extending the wrist or fingers fully

– numbness or tingling in the pinky and ring fingers","pain,inside of the elbow,tenderness,inside of the elbow,weakness,forearm,difficulty extending,wrist,fingers,numbness,tingling,pinky,ring fingers"
Premature ventricular contractions (PVCs),"
The main symptom of PVCs is a fluttering feeling in the chest. Other symptoms may include shortness of breath, lightheadedness, and dizziness.","pvcs,fluttering feeling,shortness of breath,lightheaded"
Endometrial cancer,"
The most common symptom of endometrial cancer is unusual bleeding from the vagina. This includes bleeding that occurs:

-between menstrual periods
-after menopause
-heavier or longer than normal menstrual periods","end,trial cancer,bleeding,bleeding"
Inguinal hernia,"
Some common symptoms of an inguinal hernia can include:

A bulge in the area on either side of your pubic bone
A burning, gurgling or aching sensation at the bulge
Pain or discomfort when coughing, bending over, lifting or straining
A heavy or dragging sensation in your groin
Nausea or vomiting (in cases where the hernia has become twisted or strangulated)","ing,uinal,hernia,bulge,either side of your pubic bone,aching,bulge,pain,discomfort,groin,nausea,vomiting,hernia"
Lynch syndrome,"
There is no one-size-fits-all answer to this question, as the symptoms of Lynch syndrome can vary greatly from person to person. However, some common symptoms associated with the condition include gastrointestinal issues (such as abdominal pain, bloating, and diarrhea), fatigue, weight loss, and an increased risk of certain cancers (including uterine cancer, ovarian cancer, and colorectal cancer).","lynch syndrome,symptoms,abdominal"
Insomnia,"
-Difficulty falling asleep
-Waking up frequently during the night
-Waking up too early in the morning
-Un refreshing sleep
- daytime fatigue","falling asleep,up,up,refreshing,sleep,fatigue"
Craniosynostosis,"
Craniosynostosis is a birth defect in which the bones of the skull fuse together too early. This can cause problems with brain development and can lead to a misshapen head. Symptoms may also include seizures, sleep apnea, and feeding difficulties.","craniosynostosis,birth defect,miss"
Contact dermatitis,"
The symptoms of contact dermatitis can vary depending on the person and the severity of their reaction. In general, symptoms may include redness, itching, swelling, and blistering of the skin. In severe cases, the skin may crack and bleed.","contact,red,it,b,list,ering,skin,crack"
Thunderclap headaches,"
Thunderclap headaches are often described as the ""worst headache of my life."" They are severe, sudden-onset headaches that peak within 60 seconds. Other symptoms may include nausea, vomiting, and loss of consciousness.","thunderclap,headache,headache,headache"
Anterior vaginal prolapse (cystocele),"
-A feeling of heaviness or pressure in the vagina
-A feeling of fullness or bulging in the vagina
-A sensation of lower back pain or pelvic pressure
-A need to use the restroom more frequently
-Urinary incontinence
-Difficulty emptying your bladder completely
-Trouble having a bowel movement","heaviness,pressure,vagina,fullness,bulging,vagina,lower back,pain,pe,lvic,pressure,urina,a,bowel movement"
Acute coronary syndrome,"
•	Chest pain or discomfort that may feel like pressure, squeezing, fullness, or pain in the center of your chest

•	Pain or discomfort in one or both arms, the jaw, neck, back, or stomach

•	Shortness of breath

•	Cold sweat

•	Nausea/vomiting

•	Lightheadedness or dizziness","chest,pain,discomfort,pain,center of your chest,pain,discomfort,jaw,stomach,shortness of breath,cold,sweat,nausea,vomiting,lightheadedness,di,zziness"
Lichen sclerosus,"
 itchiness, pain, burning sensation, thinning and inflammation of the skin, white patches on the skin, easy bruising or tearing of the skin","inflammation,tearing,skin"
Endometriosis,"
-painful periods
-pain with sex
-pelvic pain
-infertility","pain,sex,pelvic,pain,fer"
Stress incontinence,"
-leakage of urine when coughing, laughing, sneezing, or exercising
-the urge to urinate frequently
-waking up at night to urinate
-trouble starting a urinary stream or emptying the bladder completely","leakage of urine,bladder"
Obstructive sleep apnea,"
There are many symptoms of obstructive sleep apnea, but the most common are snoring and pauses in breathing during sleep. Other symptoms include restless sleep, waking up gasping for air, morning headaches, and daytime fatigue.","s,noring,pauses in breathing,gasping,headache"
Angelman syndrome,"
The symptoms of Angelman syndrome vary from person to person, but can include developmental delays, speech impairments, seizures, and walking and balance problems.","angelman syndrome,developmental delays,impairment"
High blood pressure in children,"
- Headache
- Dizziness
- Fatigue
- Shortness of breath
- Nausea 
- Vomiting 
- Chest pain 
- Visual changes","headache,di,zziness,fatigue,shortness of breath,nausea,vomiting,chest,pain"
Atrial fibrillation,"
The symptoms of atrial fibrillation can vary from person to person. Some people may have no symptoms at all, while others may experience heart palpitations, shortness of breath, chest pain, or dizziness.","atrial fibrillation,symptoms,shortness of breath,chest"
Frozen shoulder,"
Pain is the primary symptom of frozen shoulder. The pain may be mild at first, but it gradually becomes more severe. You may also have stiffness in your shoulder and a limited range of motion.","pain,pain,stiffness,shoulder"
Fibrocystic breasts,"
-breasts feel lumpy or rope-like
-breasts feel tender or sore
-breasts feel full or heavy
-nipple discharge
-pain in the breast","breasts,breasts,tender,sore,breasts,nipple,pain,breast"
Uterine prolapse,"
symptoms of uterine prolapse may include:

-pelvic pressure or pain
-feeling like something is falling out of the vagina
-vaginal bleeding or discharge
-trouble urinating or having a bowel movement
-constipation
-backache","lvic,pain,feeling,something,falling out,of the vagina,vaginal,bleeding,trouble,inating,bowel movement,constipation backache"
Gastroparesis,"
The symptoms of gastroparesis can vary from person to person. They may be mild, moderate, or severe. The most common symptoms include:

• Nausea
• Vomiting
• Abdominal pain or discomfort
• Early satiety (feeling full after eating only a small amount of food)
• Weight loss
• Bloating
• Heartburn
• GERD (gastroesophageal reflux disease)
• Mal","nausea,vomiting,abdominal,pain,discomfort,early,sat,iety,full,weight loss,b,loating,heartburn,•,ge,rd,lux,mal"
Diabetes,"
-feeling very thirsty
-feeling very hungry - even though you are eating
-extreme fatigue
-blurry vision
-cuts/bruises that are slow to heal
-weight loss - even though you are eating more (type 1)
-tingling, pain, or numbness in the hands/feet (type 2)","thirsty,hungry,fatigue,blur,ry vision,cuts /,bruises,weight loss,numbness,hands,/,feet"
Thrombocytopenia (low platelet count),"
-Easy bruising
-Excessive bleeding from cuts
-Nosebleeds
-Blood in urine or stool
-Fatigue","bleeding,cuts,nosebleeds,blood,stool,fatigue"
Hepatitis A,"
Abdominal pain, dark urine, fever, joint pain, loss of appetite, nausea, rash, and yellowing of the skin and eyes (jaundice).","abdominal,joint,loss of appetite,yellow,ing of the,skin,eyes,ja,und"
Ductal carcinoma in situ (DCIS),"
Ductal carcinoma in situ (DCIS) is a non-invasive cancer that forms in the milk ducts of the breast. DCIS is considered a precursor to invasive breast cancer.

The most common symptom of DCIS is a change in the size, shape, or appearance of the breast. Other symptoms may include: 

-A lump or mass in the breast
-Dimpling of the skin on the breast
-Bleeding or discharge from the nipple","ductal carcinoma,dc,is,milk duct,breast,dc,breast,dc,lump,mass,breast,dim,breast,bleeding,nipple"
Type 2 diabetes,"
-excessive urination
-unexplained weight loss
-unexplained thirst
-fatigue
-blurry vision","urination,weight loss,thirst,fatigue,blurry vision"
Squamous cell carcinoma of the skin,"
-A firm, red lump
-A scaly patch with a crusted surface
-An open sore that bleeds or develops a crust
-A wart-like growth
-A mole that changes in color, size, or texture","sore,bleeds,crust"
Crohn's disease,"
The symptoms of Crohn's disease vary depending on the severity of the disease and where it is located in the gastrointestinal tract. The most common symptoms are abdominal pain, diarrhea, weight loss, and fatigue.","cr,ohn ' s disease,gas,abdominal"
Constipation,"
- Straining during bowel movements
- Hard or small stools
- Infrequent bowel movements
- Feeling of incomplete evacuation
- Abdominal bloating or pain","straining,hard,s,el,abdominal,b,lo,ating,pain"
Helicobacter pylori (H. pylori) infection,"
There are a number of symptoms associated with H. pylori infection, including stomach pain, bloating, nausea, and vomiting. In some cases, the infection can also lead to ulcers and bleeding.",ulcer
Myocardial ischemia,"
The symptoms of myocardial ischemia include chest pain, shortness of breath, heart palpitations, and fatigue.","my,mia,chest,shortness of breath,heart"
Dural arteriovenous fistulas,"
The symptoms of dural arteriovenous fistulas (DAVFs) vary depending on the location of the fistula. General symptoms may include headache, seizures, and visual problems. Specific symptoms may include:

-Headache that is worse when lying down
-Seizures
-Visual problems, including vision loss
-Hearing loss
-Numbness or weakness in the legs
-Balance problems
-Difficulty speaking
-Dizziness","ous fistulas,da,v,fs,headache,headache,seizures,vision loss,hearing loss,numbness,weakness,legs,problems,difficulty,di,zziness"
Amyotrophic lateral sclerosis (ALS),"
Early symptoms of ALS can include muscle weakness, twitching, and cramping. As the disease progresses, patients may experience difficulty speaking, swallowing, and breathing. In the later stages of the disease, patients are usually completely paralyzed and require mechanical ventilation to breathe.","als,paralyzed"
Enlarged spleen (splenomegaly),"
* left upper quadrant pain
* fullness after eating
* early satiety
* fatigue
* weakness
* weight loss","left upper quadrant,pain,fullness,satiety,fatigue weakness,weight loss"
Chronic exertional compartment syndrome,"
Chronic exertional compartment syndrome is a condition in which the muscles and nerves in the affected area are unable to function properly due to increased pressure within the muscle compartment. This condition is often seen in athletes who participate in activities that require repetitive motion, such as running or cycling. Symptoms of chronic exertional compartment syndrome include pain and cramping in the affected muscle group during activity, as well as weakness and numbness. If left untreated, chronic exertional compartment syndrome can lead to permanent damage to the","ex,ional compartment syndrome,muscles,unable to function properly,compartment,pain,cr,amp,ing,weakness,numb,ex,compartment,damage"
Esophagitis,"
The four main symptoms of esophagitis are pain in the chest, trouble swallowing, heartburn, and regurgitation. Chest pain, also known as heartburn, is the most common symptom of esophagitis. It usually starts shortly after eating and can last for several hours. Trouble swallowing occurs when the esophagus becomes narrow and makes it difficult to swallow food. Heartburn is a burning sensation in the chest that can be caused by the stomach acid irritating the esophagus","pain,chest,pain,trouble swallowing,esopha,heartburn,chest,stomach,irritating,esop,hagus"
Progressive supranuclear palsy,"
There is no known cure for progressive supranuclear palsy (PSP), and the condition is always fatal. The average life expectancy for someone with PSP is eight years from the time of diagnosis.

The most common symptom of PSP is a progressive decline in eye movement control, which leads to difficulties with reading, writing, and driving. People with PSP may also experience problems with balance and coordination, as well as cognitive decline and dementia. In the later stages of the disease, people","su,pr,anuclear palsy,ps,ps,psp,ps,cognitive decline"
Acute lymphocytic leukemia,"
- fatigue
- pale skin
- easy bruising or bleeding
- fever
- bone or joint pain
- abdominal pain
- weight loss","fatigue,pale,skin,br,uising,fever,bone,joint,pain,abdominal,pain,weight loss"
Dystonia,"
The symptoms of dystonia vary depending on the type of dystonia. The most common symptoms include muscle spasms, tremors, and muscle cramps.","d,yst,muscle,muscle"
Long QT syndrome,"
The symptoms of Long QT syndrome can include fainting, seizure, and sudden death.",q
Sleep apnea,"
-snoring
-restlessness during sleep
-teeth grinding
-daytime fatigue
-waking up with a headache or sore throat
-insomnia
-depression","restlessness,grinding,fatigue,headache,sore,throat,ins,omnia depression"
Hair loss,"
Some symptoms of hair loss include:

-gradual thinning on top of the head
-excessive shedding of hair
-sudden loss of patches of hair
-circular bald spots on the scalp
-full scalp baldness","hair loss,thinning,top of the head,shedding of hair,loss,patches of hair,bald spots,scalp,scalp,baldness"
Hypospadias,"
The symptoms of hypospadias may include:

-A urethral opening that is not at the tip of the penis
-A curved penis
-Chordee, or downward curvature of the penis
-Urinary difficulties, such as spraying during urination or having to sit down to urinate
-Infertility","ureth,ral opening,tip of the penis,penis,downward curvature of the penis"
Inflammatory bowel disease (IBD),"
There are many symptoms of inflammatory bowel disease (IBD), and they vary depending on the individual. The most common symptoms are abdominal pain and cramping, diarrhea, rectal bleeding, weight loss, and fatigue. Some people with IBD may also experience fever, joint pain, mouth sores, and skin rashes.","inflammatory bowel disease,ib,abdominal,pain,rec,tal,ibd,joint,mouth,skin"
