disease,symptoms,specialties
Peripheral neuropathy,"pain,from,skin,sweating,not,able to sweat,muscle weakness,heat intolerance,pain,pain,feet,paralysis,dizziness,lightheadedness,bladder,digestive problems,feeling,sensitivity to touch,lack of coordination,falling,numb,tingling,feet,upward,your,legs,arms","Physical Medicine and Rehabilitation,Neurology,Pain Medicine,Neurosurgery,Pediatric Rehabilitation"
Legg,"pain,stiffness,hip,groin,thigh,knee,hip,joint,pain","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Soft tissue sarcoma,"lump,swelling,nerves,muscles","Shoulder and Elbow Surgery in Rochester,Children's Center,Radiation Oncology,Orthopedic Surgery,Urology,Pediatric Urology,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology,Hepatobiliary and Pancreas Surgery,Pediatric and Adolescent Medicine"
Chronic pelvic pain in women,"pain,pain,pains,cramping pressure,heaviness,pelvis,pain,pain,bowel movement,ur,inating,pain","Physical Medicine and Rehabilitation,Pain Rehabilitation Center,Obstetrics and Gynecology,Pain Medicine"
Multiple system atrophy (MSA),,"Physical Medicine and Rehabilitation,Neurology,Palliative Care in Minnesota,Urology,Sleep Medicine"
Paraneoplastic syndromes of the nervous system,"loss of muscle coordination,red speech,ttering vision problems,hallucinations difficulty,involuntary movements,loss of muscle tone,weakness,difficulty,seizures,sleep disturbances,memory loss,other thinking (,cognitive,) impairment","Neurology,Oncology (Medical)"
Flatfeet,,"Physical Medicine and Rehabilitation,Orthopedic Surgery"
Scleroderma,,"Physical Medicine and Rehabilitation,Transplant Center,Rheumatology,Orthopedic Surgery,Dermatology,Kidney Transplant Program"
Sleep terrors (night terrors),"scream,frightened,flushed face,dilated,pupils,kick,thrash,confused,awakened,inc,ons,olable","Pediatric Sleep Medicine in Minnesota,Pulmonary Medicine,Sleep Medicine"
Stevens,"fever,sore,mouth,throat,b,listers,your,skin,mu,cous membranes,the,mouth,nose,,eyes,genitals,fatigue,skin,pain,burning,eyes,rash,blisters form",Dermatology
Bone cancer,"weakened,fracture,fatigue,swelling,tenderness,affected area,weight loss,bone,pain","Physical Medicine and Rehabilitation,Pediatric Hematology/Oncology in Minnesota,Shoulder and Elbow Surgery in Rochester,Children's Center,Orthopedic Oncology in Minnesota,Orthopedic Surgery,Radiation Oncology,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Pediatric and Adolescent Medicine"
Fetal macrosomia,"am,niotic fluid,fluid,poly,am,nio,fluid,ut,polyhydramnio,fundal height,polyhydramnios,polyhydramnio,fund,height,uterus,fundal height,fundal height,fundal height,pubic bone,erus,fundal height",Obstetrics and Gynecology
Aphasia,"difficulty,words",Neurology
Chronic kidney disease,"swelling,feet,ankles,vomiting,sleep problems,short,fluid builds up,lungs,chest,fluid builds up,lining of the heart,fatigue,weakness,loss of appetite,urinating,hyper,nausea,chy,skin,muscle,cr,amps","Nephrology and Hypertension,Transplant Center,General Internal Medicine,Cardiovascular Medicine,Kidney Transplant Program,Endocrinology"
Bunions,"swelling,redness,soreness,big toe joint,big toe corns,uses,first,toes,rub,pain,pain,bump,outside of the base of your big toe",Orthopedic Surgery
Periodontitis,"gum,s,ossing,teeth,swollen,puffy gums,chewing pus,between,teeth,gum,gum,s,pull away from your teeth,teeth,breath,gum,between your teeth gums,loose teeth,loss of teeth,teeth",Dental Specialties
Acoustic neuroma,"un,steadiness,loss of balance,dizziness,(,vertigo,affected,ear,facial,numbness,weakness,loss of muscle movement","Otolaryngology (ENT)/Head and Neck Surgery,Neurology,Radiation Oncology,Neurosurgery,Brain Tumor Program"
Dysphagia,"coughing,gagging,dr,ooling,stomach,acid,throat,hoarseness,inability to swallow,heartburn,sensation,food,stuck,throat,chest,behind the breastbone,pain,weight loss","Otolaryngology (ENT)/Head and Neck Surgery,Physical Medicine and Rehabilitation,Neurology,Pediatric Otolaryngology,Thoracic Surgery,Pediatric Rehabilitation,Gastroenterology and Hepatology"
Hemolytic uremic syndrome (HUS),"fever,shortness of breath,bleeding,nose,mouth,loss of pink color,cheeks,inside the,lower eyelids,vomiting,seizures,stroke,fatigue,high,br,uising,bruises,swelling,edema,face,hands,feet,entire body,urination,abdominal,cr,amping,bloating","Nephrology and Hypertension,Transplant Center,Kidney Transplant Program"
Hiatal hernia,"reg,urg,mouth,shortness of breath,backflow,esop,ha,gus,chest,abdominal,pain,heartburn,vomiting,gastrointestinal,bleeding,difficulty swallowing","Pediatric Surgery,Gastroenterology and Hepatology,Thoracic Surgery"
Salivary gland tumors,"numbness,face,lump,swelling,near your jaw,neck,mouth,swallowing,trouble,opening,mouth,pain,salivary gland,muscle,weakness,one side of your face","Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Oral and Maxillofacial Surgery,Head and Neck Cancer Center,Oncology (Medical),Cancer Care at Mayo Clinic"
Granuloma annulare,"bumps,rash,arms,rash,discomfort,lump,lump,shin,bump,lesions,hands,feet,wrists,ankles",Dermatology
Esophageal spasms,"esophagus,esophagus,mouth,rings,esop,gus,swallowing,es,pain,pain",Gastroenterology and Hepatology
Subconjunctival hemorrhage (broken blood vessel in eye),,Ophthalmology
Hyperoxaluria and oxalosis,"pain,below the ribs,back,pain,to urinate,chills,fever,back,pain","Transplant Center,Nephrology and Hypertension,Clinical Genomics,Urology,Liver Transplant Program,Gastroenterology and Hepatology"
Benign peripheral nerve tumor,"swelling,lump,under your skin,weakness,loss of function,affected area,di,zziness,loss of balance,tingling,numbness","Neurology,Clinical Genomics,Neurosurgery"
Sick sinus syndrome,"shortness of breath,fluttering heartbeats,chest,pain,discomfort,fatigue,faint,fainting,confusion,di,zziness,lightheadedness","Cardiovascular Medicine,Cardiovascular Surgery"
Bradycardia,"shortness of breath,chest,pain,fatigue,faint,ing,confusion,memory problems,di,zziness,lightheadedness","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Bullous pemphigoid,"b,listers,sores,mouth,mucous membranes,mu,cous membrane,skin,b,listers,ec,zema,rash,blisters,b,listers,rupture,folds,skin",Dermatology
Throat cancer,"cough,sore,throat,ear,pain,hoarseness,lump,sore,weight loss","Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Oral and Maxillofacial Surgery,Proton Beam Therapy Program,Speech Pathology,Head and Neck Cancer Center,Oncology (Medical),Dental Specialties,Plastic and Reconstructive Surgery"
Gallstones,"pain,upper right,abdomen,pain,below your breastbone back,pain,between your shoulder blades,pain,right shoulder,nausea,vomiting","Pediatric Surgery,Gastroenterology and Hepatology,Radiology"
Hemangioma,,"Pediatric Surgery,Vascular centers,Plastic and Reconstructive Surgery,Dermatology"
Heart disease,,"Heart Transplant Program,Vascular centers,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Claudication,"discoloration,skin,pain,pain,calves,thighs,buttocks,hips,feet,pain,shoulders,biceps,forearms,discomfort,fatigue,muscles,pain,numbness,wounds","Physical Medicine and Rehabilitation,Vascular centers,Vascular and Endovascular Surgery"
Gastrointestinal bleeding,"chest,pain,tarry,stool,difficulty breathing,abdominal,pain,lightheadedness,rectal,stool",Gastroenterology and Hepatology
Syringomyelia,"stiffness,back,shoulders,arms,legs,pain,neck,arms,back,loss,sensitivity,pain,temperature,muscle,weakness,wasting,at,hy,headache,loss of reflex,spinal curvature,sc,olio","Neurology,Spine Care"
Ectropion,"dry,eyes,dry,gritty,tears,dryness,sensation,redness,eyelids,watery eyes,tearing,tears,tears,dry eyes,ir,rita,surface,cornea",Ophthalmology
Stomach cancer,"tired,blo,vomiting,trouble,heartburn,belly,pain,indigestion,weight,nausea,hungry,hungry","Radiation Oncology,General Surgery,Thoracic Surgery,Surgical Oncology and Endocrine Surgery in Arizona,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Bladder cancer,"urination,ination,hem,urine,back,pain","Radiation Oncology,Urology,Laboratory Medicine and Pathology,Oncology (Medical),Radiology"
Dry macular degeneration,"of,faces,blurriness of,blurry spot,spot,field of vision,straight,bent,central vision,one or both eyes",Ophthalmology
Hypoparathyroidism,"hair loss,skin,depression,anxiety,twitching,spa,sms,hands,arms,throat,muscle,aches,cramps,stomach,face,tingling,burning,toes,lips,fatigue,weakness,brittle nails",Endocrinology
Giant cell arteritis,"giant,arteritis,inflammation,near the temples,fever,scalp,tenderness,fatigue,jaw,pain,open,mouth,head,your,temple area,vision loss,jaw,pain,weight loss,arteritis,giant cell,arteritis,loss of vision,one eye","Ophthalmology,Neurology,Rheumatology"
Constipation in children,"stomach,pain,stool,stool,stool,rectum,pain,el movement",Gastroenterology and Hepatology
Neuroblastoma,"diarrhea,consti,pation,fever,chest,pain,weight loss,back,pain,mass,under the skin,tender,wheezing,bone,pain,dr,ooping,eyelids,abdominal,pain,around,eyes,lump,tissue,under the skin,eyeballs,from the sockets","Nephrology and Hypertension,Pediatric Hematology/Oncology in Minnesota,Neurology,Children's Center,Physical Medicine and Rehabilitation,Radiation Oncology,Transplant Center,Laboratory Medicine and Pathology,Pediatric Surgery,Bone Marrow Transplant Program,Oncology (Medical),Pediatric and Adolescent Medicine,Endocrinology"
Bruxism (teeth grinding),"teeth,teeth,tooth,tooth,pain,sensitivity,jaw,neck,face,pain,soreness,pain,ear,headache,temples,damage,chewing,inside of your cheek,sleep disruption","Pediatric Sleep Medicine in Minnesota,Pulmonary Medicine,Sleep Medicine"
Functional dyspepsia,"fullness,pain,nausea,pain,stomach",Gastroenterology and Hepatology
Soft palate cancer,"swelling,neck,hurt,loose,teeth,bleeding,mouth,pain,pain,ear,pain,bad breath,white patches,mouth,weight loss,sores,mouth","Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Oral and Maxillofacial Surgery,Proton Beam Therapy Program,Head and Neck Cancer Center,Oncology (Medical),Cancer Care at Mayo Clinic,Plastic and Reconstructive Surgery"
Stage 4 prostate cancer,"fatigue,blood,semen,bone,pain,swelling,legs","Radiation Oncology,Urology,Oncology (Medical),Cancer Care at Mayo Clinic,Radiology"
Pediatric obstructive sleep apnea,"sweating,sleep terror,school,coughing,choking,restless sleep,learning problems,pauses in breathing,behavioral,problems,gain,paying attention,s,noring,bed - wetting","Otolaryngology (ENT)/Head and Neck Surgery,Neurology,Children's Center,Pulmonary Medicine,Pediatric Sleep Medicine in Minnesota,Dental Specialties,Pediatric and Adolescent Medicine,Sleep Medicine"
Rectal prolapse,"inability to control,leaking blood,rectum,rectum,empty,el movement,consti,pation,diarrhea","Colon and Rectal Surgery,Gastroenterology and Hepatology,Pediatric Surgery,Physical Medicine and Rehabilitation"
Aortic valve regurgitation,"shortness of breath,murmur,lightheadedness,faint,swollen,ankles,feet,fatigue,chest,pain,ang,discomfort,tight","Pediatric Cardiology,Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiac Surgery"
Cluster headache,,"Neurology,Pain Rehabilitation Center,Neurosurgery"
Dupuytren contracture,"lump,lump,lump,dupu,yt,contracture","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Rhabdomyosarcoma,"headache,bulging,swelling,eyes,bleeding,throat,ears","Otolaryngology (ENT)/Head and Neck Surgery,Pediatric Hematology/Oncology in Minnesota,Physical Medicine and Rehabilitation,Children's Center,Radiation Oncology,Orthopedic Surgery,Shoulder and Elbow Surgery in Rochester,Pediatric Urology,Pediatric Surgery,Oncology (Medical),Cancer Care at Mayo Clinic,Pediatric and Adolescent Medicine"
Anal fistula,"fever,opening,skin,anus,pain,rectum,in,tunnel,o,oz,pu,blood","Colon and Rectal Surgery,Gastroenterology and Hepatology"
Pulmonary fibrosis,"shortness of breath,d,ys,p,cough,fatigue,weight loss,aching,muscles,joints,widening,rounding,the,tips of the fingers,toes","Lung Transplant Program ,Transplant Center,Pulmonary Medicine,Thoracic Surgery"
Eating disorders,,"Children's Center,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
Sudden cardiac arrest,"shortness of breath,loss of consciousness,pulse,collapse,pounding,heart,weakness,breathing,chest,discomfort","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Thoracic aortic aneurysm,"shortness of breath,pain,upper back,cough,back,pain,trouble,loss of consciousness,difficulty breathing,tenderness,pain,chest,scratchy voice,hoarseness,pain,chest,jaw,neck,arms","Thoracic Surgery,Vascular centers,Cardiovascular Medicine,Vascular and Endovascular Surgery,Cardiovascular Surgery,Aortic Center,Pediatric Cardiology"
Golfer's elbow,"stiff,elbow,weakness,weakness,hands,wrists,numb,sensations,golfer,golfer,elbow,pain,golfer,elbow,forearm,bony bump,elbow,pain,tennis,elbow,bony bump,outside of the elbow,pain,pain,forearm,pain","Physical Medicine and Rehabilitation,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Premature ventricular contractions (PVCs),,Cardiovascular Medicine
Endometrial cancer,"vaginal,bleeding,pelvic,pain,bleeding","Radiation Oncology,Obstetrics and Gynecology,Proton Beam Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Undescended testicle,,"Children's Center,Pediatric and Adolescent Medicine,Urology,Pediatric Urology"
Inguinal hernia,"pain,discomfort,coughing,groin,weakness,pressure,groin,pain,swelling,testicles,scrotum,bulge,pubic,cough,strain",Pediatric Surgery
Lynch syndrome,inside lining of the uterus,"Clinical Genomics,Laboratory Medicine and Pathology,Surgery,Oncology (Medical),Cancer Care at Mayo Clinic,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Insomnia,"falling,asleep,up,well,rested,tiredness,sleepiness,depression,anxiety,errors,accidents,sleep","Pulmonary Medicine,Pediatric Sleep Medicine in Minnesota,Psychiatry and Psychology,Sleep Medicine"
Craniosynostosis,"in the,head","Neurology,Children's Center,Clinical Genomics,Oral and Maxillofacial Surgery,Pediatric Neurosurgery,Cleft and Craniofacial Clinic,Neurosurgery,Pediatric Rehabilitation,Plastic and Reconstructive Surgery,Pediatric and Adolescent Medicine"
Contact dermatitis,"itis,skin,rash,skin,b,b,list,dermatitis,face,skin,rash,blist,der,mat,itis,face",Dermatology
Thunderclap headaches,"fever strikes,altered,seizures,nausea,vomiting",Neurology
High cholesterol,,"Bariatric Center in Florida,Endocrinology"
Anterior vaginal prolapse (cystocele),"bulge of tissue,vagina,pel,pressure,strain,down,lift,bladder,leaking,fullness,pressure,pelvis,vagina","Physical Medicine and Rehabilitation,Obstetrics and Gynecology"
Acute coronary syndrome,"lightheaded,di,zziness,fainting,shortness of breath,d,ys,pnea,sweating,ige,sti,fatigue,chest,pain,pain,chest,back,neck,jaw,nausea,vomiting,restless,apprehensive",Cardiovascular Medicine
Lichen sclerosus,"lichen,gen,ital area,chen,skin,of,body,skin,wrinkled,skin patches,sore,ering,sores,lichen,gen,ital area,disco,skin,it,lichen,disco,lore,b",Obstetrics and Gynecology
Endometriosis,"bleeding,b,pain,endome,triosis,pain,pain,pelvic,pain,cr,amping,lower back,abdominal",Obstetrics and Gynecology
Stress incontinence,"cough,s,nee,ze","Physical Medicine and Rehabilitation,Obstetrics and Gynecology,Urology"
Obstructive sleep apnea,"dry mouth,sore throat,sleepiness,s,ing,stopped breathing,concentrating,depression,ir,ritability,headache,awakening,gasping,choking","Otolaryngology (ENT)/Head and Neck Surgery,Neurology,Children's Center,Pulmonary Medicine,Oral and Maxillofacial Surgery,Pediatric Sleep Medicine in Minnesota,Dental Specialties,Psychiatry and Psychology,Pediatric and Adolescent Medicine,Sleep Medicine"
Angelman syndrome,"arms,ed,flatness,back of the head,skin,eyes,in,stiff,jerky movements,sleep problems,crawling,ba,bbling,to,tongue,curved spine,(,sc,olio,sis,feeding,difficulty,speech,speech intellectual disability","Physical Medicine and Rehabilitation,Neurology,Children's Center,Clinical Genomics,Psychiatry and Psychology,Pediatric and Adolescent Medicine"
High blood pressure in children,"shortness of breath,chest,pains,vomiting,headache,seizures",Nephrology and Hypertension
Atrial fibrillation,"irregular,rhythm,shortness of breath,chest,pain,fatigue,exercise,a,fi,card,at,fibrillation,di,zziness,headedness,weakness,a,- fib,symptoms,symptoms,a,fib","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Frozen shoulder,"shoulder,shoulder,to move,pain,shoulder,stiff,shoulder,to move","Physical Medicine and Rehabilitation,Sports Medicine,Shoulder and Elbow Surgery in Rochester,Orthopedic Surgery"
Cyclothymia (cyclothymic disorder),,Psychiatry and Psychology
Fibrocystic breasts,"nipple,breast,pain,tenderness,discomfort,upper,breast,breast,nodules,lumpy tissue change,breast,pain,lumpiness,breast,lumps,thick,breast,breast,both breasts","Women's Health,General Internal Medicine,Breast Clinic,Family Medicine"
Uterine prolapse,"trouble,el movement,vagina,bladder,feeling,va,loose pressure,discomfort,pelvis,low,pulling,pelvis,inc,va,ginal tissue,tissue,bulge,vagina","Physical Medicine and Rehabilitation,Obstetrics and Gynecology"
Gastroparesis,"changes,abdominal,pain,vomiting,abdominal,b,lo,ating,weight loss,malnutrition,ref,vomiting,nausea,fullness","Gastroenterology and Hepatology,Neurology"
Diabetes,"skin,va,ginal,ketones,ke,tones,breakdown of muscle and fat,sore,ur,inating,losing weight,tired,thirsty,blurry vision,ir,ritable","Transplant Center,Kidney Transplant Program,General Internal Medicine,Endocrinology"
Thrombocytopenia (low platelet count),"bleeding,cuts,blood,stool,fatigue,br,uising,spleen,bleeding,skin,rash,spots,pete,on the,lower legs,petechiae,bleeding,from your gums,nose,petechiae,pete,rash,leg,abdomen",Hematology
Hepatitis A,"fever,abdominal,pain,upper right side,lower,over your,liver,urine,yellow,ing,skin,whites,your,eyes,ja,und,ice,it,ching,stool,loss of appetite,joint,pain,nausea,vomiting,diarrhea,tired,ness,weakness",Gastroenterology and Hepatology
Ductal carcinoma in situ (DCIS),"breast,lump,bloody,nipple","Breast and Melanoma Surgical Oncology,Radiation Oncology,Oncology (Medical),Breast Clinic"
Type 2 diabetes,"armpits,neck,fatigue,numbness,tingling,hands,feet,infections,weight loss,blurred vision,thirst,hunger,urination,sores","Endocrine Surgery,Bariatric Center in Florida,Endocrinology"
Diabetic neuropathy,,"Physical Medicine and Rehabilitation,Neurology,Pain Medicine,Endocrinology"
Glaucoma,,Ophthalmology
Squamous cell carcinoma of the skin,"nodule,sore,anus,your,gen,itals,lip,sore,sore,scar,ul,sore,mouth,sore","Radiation Oncology,Oral and Maxillofacial Surgery,Laboratory Medicine and Pathology,Head and Neck Cancer Center,Dermatology,Cancer Care at Mayo Clinic,Oncology (Medical),Breast and Melanoma Surgical Oncology"
Crohn's disease,"fever,abdominal,pain,cr,amp,ing,blood,stool,mouth,sores,fatigue,reduced appetite,weight loss,pain,drainage,around the,anus,inflammation,skin,fist,dia,rrhea","Laboratory Medicine and Pathology,Pediatric Surgery,Radiology,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Constipation,"blockage,rectum,straining,rectum,abdomen,stool,rectum","Colon and Rectal Surgery,Gastroenterology and Hepatology"
Helicobacter pylori (H. pylori) infection,"stomach,pain,stomach,bu,rping loss of appetite,weight loss,nausea,ache,pain,stomach",Gastroenterology and Hepatology
Aspergillosis,,Allergic Diseases
Myocardial ischemia,"sweating,nausea,vomiting,shortness of breath,fatigue,shoulder,arm,pain,neck,jaw,pain",Cardiovascular Medicine
Dural arteriovenous fistulas,"eye,related,pal,sies,dementia,parkinsonism,falls,coordination issues,swelling,eye lining,prick,ling sensations,apathy,sinus,failure to thrive symptoms,headache,nausea,visual deterioration,facial,pain,eye,bulge,seizures,speech,language issues,weakness","Neurology,Neuroradiology,Neurosurgery,Radiology,Child and Adolescent Neurology"
Amyotrophic lateral sclerosis (ALS),"ping,falling,weakness,feet,ankles,hand,weakness,clumsiness,trouble,muscle cramps,twitching,shoulders,tongue,laughing,ya,wning,cognitive and behavioral changes","Physical Medicine and Rehabilitation,Neurology"
Enlarged spleen (splenomegaly),"pain,fullness,left upper belly,left shoulder,infections,red blood cells,(,an,emia,fullness,sp,pressing,stomach,bleeding",Hepatobiliary and Pancreas Surgery
Chronic exertional compartment syndrome,"numbness,tingling,limb,legs,affected,weakness,limb,ion,tightness,limb,amp,pain,compartment of,affected limb,swelling,bulging,muscle,her,nia","Physical Medicine and Rehabilitation,Sports Medicine,Orthopedic Surgery"
Brain aneurysm,,"Physical Medicine and Rehabilitation,Neurology,Neurosurgery,Cerebrovascular Diseases and Critical Care,Radiology,Child and Adolescent Neurology"
Hives and angioedema,,Allergic Diseases
CSF leak (Cerebrospinal fluid leak),,"Otolaryngology (ENT)/Head and Neck Surgery,Neurology,Neurosurgery"
Esophagitis,"acid regurgitation,chest,behind the breast,heartburn,stuck,food,failure to thrive,feeding difficulties","Gastroenterology and Hepatology,Allergic Diseases,Cardiovascular Surgery"
Progressive supranuclear palsy,"backward,rigid,facial,muscles,aim,eyes,blur,focusing,eyes,disinterested,gagging,loss of interest,crying,stiffness,awkward movements,di,zziness,depression,anxiety,sleep disturbances,loss of balance,fall backward,sl,ur,red speech","Physical Medicine and Rehabilitation,Neurology"
Acute lymphocytic leukemia,"fever,nosebleeds,shortness of breath,fatigue,infections,bleeding,gums,skin,bone,pain,lumps,swollen,l,ym,ph nodes,neck,armpits,abdomen,groin","Transplant Center,Pediatric Hematology/Oncology in Minnesota,Radiation Oncology,Hematology,Bone Marrow Transplant Program,CAR-T Cell Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Headaches in children,,Pain Rehabilitation Center
Dystonia,"d,ystonia,arm,jaw,oro,oro,bular,d,cervical,neck,cervical,contraction,head,twist,pull,blinking,spasms,spa,sms,la,ryn,d,yst,onia,symptoms","Physical Medicine and Rehabilitation,Neurology,Pediatric Neurosurgery,Neurosurgery"
Long QT syndrome,"faint,s,blurred vision,pounding heartbeat,lightheadedness,weakness","Cardiovascular Medicine,Cardiovascular Surgery,Pediatric Cardiology"
Sleep apnea,"gasping for air,breathing,paying attention,dry mouth,s,noring,staying asleep,ins,om,irritability,sleepiness,hyper,som,nia,headache","Otolaryngology (ENT)/Head and Neck Surgery,Bariatric Center in Florida,Psychiatry and Psychology"
Hair loss,"bro,alopecia,traction,alopecia,baldness,bald,loss,al,bald,it,loss,ope,bald,bald,loss,loss,al,ope,loss,bald,scaling,traction,thin,hair loss,line,bald,thinning,hair loss,bald,loss,thin,alopecia","Cosmetic Center in Arizona,Dermatology"
Hypospadias,"opening,urethra,other than the tip of the penis,downward curve of the penis,chord,penis,top half of the penis,foreskin","Children's Center,Pediatric and Adolescent Medicine,Urology,Pediatric Urology"
Hip dysplasia,,"Physical Medicine and Rehabilitation,Sports Medicine,Children's Center,Orthopedic Surgery,Young Hip Clinic in Minnesota,Pediatric and Adolescent Medicine"
Inflammatory bowel disease (IBD),"abdominal,pain,cr,amp,ing,blood,stool,fatigue,weight loss,diarrhea,reduced appetite","Laboratory Medicine and Pathology,Pediatric Surgery,Radiology,Colon and Rectal Surgery,Gastroenterology and Hepatology"
Trigger finger,"finger,stiff,morning finger,tenderness,bump,nod,palm,base of the,affected finger","Physical Medicine and Rehabilitation,Orthopedic Surgery"
Frontotemporal dementia,,"Physical Medicine and Rehabilitation,Neurology,Psychiatry and Psychology"
Heart palpitations,,Cardiovascular Medicine
Mouth cancer,"inside of your mouth,painful,loose teeth,lip,mouth,sore,mouth,pain,ear,pain,growth,lump,your mouth","Otolaryngology (ENT)/Head and Neck Surgery,Radiation Oncology,Oral and Maxillofacial Surgery,Head and Neck Cancer Center,Oncology (Medical),Plastic and Reconstructive Surgery"
Restless legs syndrome,"symptoms,symptoms,sensations,leg,r,ls,legs,twitch,it,ching,r,ls","Pediatric Sleep Medicine in Minnesota,Neurology,Pulmonary Medicine,Sleep Medicine"
Autoimmune hepatitis,"yellowing,skin,whites of the eyes,ja,und,ice,abdominal,discomfort,abnormal,skin,spider,ang,iom,as,fatigue,enlarged,liver,joint,pains,skin,rash,loss of menstrual periods","Liver Transplant Program,Gastroenterology and Hepatology,Transplant Center"
Dysarthria,"inability to speak,moving your","Physical Medicine and Rehabilitation,Neurology"
Arthritis,"pain,stiffness,swelling,redness,of motion","Physical Medicine and Rehabilitation,Pain Medicine"
Hepatitis C,"bleeding,uising,fatigue,poor appetite,discoloration,skin,eyes,ja,und,ice,urine,chy,skin,fluid buildup,abdomen,as,cite,swelling,legs,weight loss,dr,owsiness,sl,ur,red,he,pati,blood,vessels,your,skin","Transplant Center,Gastroenterology and Hepatology,Infectious Diseases"
Painful intercourse (dyspareunia),"pain,pain,pain,pain,pain","Physical Medicine and Rehabilitation,Obstetrics and Gynecology"
Benign prostatic hyperplasia (BPH),"to,urinate,urine urinary tract,infection,urination,no,ct,uria,empty,urination",Urology
Deep vein thrombosis (DVT),"leg,swelling,warmth,leg,leg,leg,cr,amping,soreness,calf","Vascular centers,Vascular and Endovascular Surgery"
Non,"fever,swollen,l,ym,ph nodes,swollen,l,nodes,swollen,l,ym,nodes,below,lower jaw,swollen,l,neck,armpits,groin,weight loss,abdominal,pain,chest,coughing,trouble breathing,fatigue,swollen,l,ym,ph nodes,night sweats","Transplant Center,Radiation Oncology,Hematology,Bone Marrow Transplant Program,CAR-T Cell Therapy Program,Oncology (Medical),Cancer Care at Mayo Clinic"
Elevated blood pressure,,Nephrology and Hypertension
Male hypogonadism,"test,seminal,les,prostate gland,penis,ejaculates",Endocrinology
Clubfoot,"calf,leg,foot,foot",Orthopedic Surgery
Microscopic colitis,"dia,rrhea,dehydration,fe,nausea,abdominal,cramps,weight loss",Gastroenterology and Hepatology
COPD,"swelling,ankles,feet,legs,of,respiratory,infections,short,cough,cus,chest,tightness,w,heezing,weight loss","Lung Transplant Program ,Transplant Center,Pulmonary Medicine,Thoracic Surgery"
Skin cancer,,"Radiation Oncology,Laboratory Medicine and Pathology,Surgical Oncology and Endocrine Surgery in Arizona,Surgery,Head and Neck Cancer Center,Oncology (Medical),Dermatology,Cancer Care at Mayo Clinic"
Arteriovenous fistula,"lips,fingernails,cy,ano,swelling,arms,legs,heart failure,fatigue,bulging,veins,veins,coughing,blood,round","Vascular centers,Vascular and Endovascular Surgery"
Pancreatic cancer,"diabetes,diabetes,fatigue,-,urine blood clots,s,loss of appetite,weight loss,abdominal,pain,dia,your back,chy,skin,yellow,ing,skin,whites of your eyes,ja,und,ice","Radiation Oncology,Pancreas Clinic,General Surgery,Surgical Oncology and Endocrine Surgery in Arizona,Proton Beam Therapy Program,Oncology (Medical),Radiology,Gastroenterology and Hepatology,Hepatobiliary and Pancreas Surgery"
Multiple myeloma,"fatigue,infections,thirst loss of appetite,mental fogginess,confusion,weakness,numbness,legs,bone,spine,chest,nausea,con,sti,pation,weight loss","Transplant Center,Radiation Oncology,Hematology,Bone Marrow Transplant Program,CAR-T Cell Therapy Program,Oncology (Medical),Kidney Transplant Program,Cancer Care at Mayo Clinic"
Basal cell carcinoma,"les,ion,les,ion,les,bump,bump,bump,blood vessels,bleed","Oncology (Medical),Dermatology,Oral and Maxillofacial Surgery"
Moles,,Dermatology
Anaphylaxis,"skin,hives,it,ching,flushed,pale,skin,const,ric,tion,airways,swollen,tongue,w,heezing,trouble breathing,dizziness,fainting,vomiting,dia,rrhea",Allergic Diseases
Bags under eyes,"sa,ggy,loose skin,swelling,dark circles","Plastic and Reconstructive Surgery,Center for Aesthetic Medicine & Surgery in Rochester,Cosmetic Center in Arizona"
Hirschsprung's disease,"swollen,belly,fatigue,vomiting,fuss,' s,el movement,consti,pation,diarrhea failure to thrive",Pediatric Surgery
Mastitis,"fever,breast,breast,lump,pain,burning sensation,ill,breast,swelling,breast,tenderness,warmth,skin","Breast and Melanoma Surgical Oncology,Breast Clinic"
Hepatitis B,"fever,nausea,vomiting,urine,joint,pain,loss of appetite,weakness,fatigue,abdominal,pain,yellowing,skin,ja,undice","Liver Transplant Program,Gastroenterology and Hepatology,Transplant Center,Kidney Transplant Program"
